5,0
12,0
16,0
5,1
11,1
12,1
13,1
15,1
2,2
3,2
4,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
2,3
3,3
10,3
12,3
13,3
14,3
15,3
16,3
10,4
13,4
2,5
6,5
10,5
11,5
12,5
14,5
0,6
6,6
10,6
11,6
12,6
13,6
14,6
15,6
8,6
18,8
16,8
9,7
10,7
11,7
12,7
13,7
14,7
15,7
19,7
20,7
20,6
0,8
8,8
1,9
8,9
9,9
11,9
12,9
15,9
16,9
17,9
18,9
2,10
9,10
13,10
14,10
17,10
1,11
2,11
4,11
5,11
13,11
14,11
1,12
6,12
8,12
9,12
1,13
2,13
6,13
7,13
8,13
11,13
0,14
1,14
2,14
6,14
7,14
8,14
9,14
10,14
20,14
0,15
3,15
6,15
8,15
9,15
10,15
17,15
19,15
2,16
3,16
6,16
7,16
15,16
16,16
17,16
10,17
17,17
0,18
7,18
9,18
10,18
11,18
12,18
13,18
14,18
5,19
6,19
7,19
11,19
12,19
13,19
14,19
15,19
3,20
6,20
10,20
11,20
12,20
13,20
14,20
15,20
